organism,ncbi,jgi,assembly,BioSample,BioProject
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_GWA2_OD1_45_39_plus,SAMN03319841,NA,GCA_001001655.1,SAMN03319841,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_GWA2_OD1_46_17_plus,SAMN03319870,NA,GCA_001002365.1,SAMN03319870,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_GWA2_OD1_50_22_partial,SAMN03319990,NA,GCA_001004165.1,SAMN03319990,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_GWA2_OD1_56_11,SAMN03320026,NA,GCA_001004885.1,SAMN03320026,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_GWC2_OD1_37_14,SAMN03319371,NA,GCA_000990355.1,SAMN03319371,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_GWC2_OD1_41_17,SAMN03319578,NA,GCA_000996735.1,SAMN03319578,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_GWD2_OD1_43_18,SAMN03319711,NA,GCA_000999365.1,SAMN03319711,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_Parcubacteria_bacterium_SCGC_AAA011_J21_DUSEL_001_191,SAMN02440423,NA,GCA_000380885.1,SAMN02440423,PRJNA192359
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFCSPHIGHO2_01_FULL_OD1_Magasanikbacteria_47_8,SAMN04314907,NA,GCA_001784195.1,SAMN04314907,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFCSPHIGHO2_02_FULL_OD1_Magasanikbacteria_33_17,SAMN04315336,NA,GCA_001782875.1,SAMN04315336,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFCSPHIGHO2_02_FULL_OD1_Magasanikbacteria_41_13,SAMN04315343,NA,GCA_001784205.1,SAMN04315343,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFCSPHIGHO2_02_FULL_OD1_Magasanikbacteria_47_14,SAMN04316154,NA,GCA_001784275.1,SAMN04316154,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFCSPHIGHO2_02_FULL_OD1_Magasanikbacteria_50_9b,SAMN04315368,NA,GCA_001782975.1,SAMN04315368,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFCSPHIGHO2_02_FULL_OD1_Magasanikbacteria_51_14,SAMN04315443,NA,GCA_001782905.1,SAMN04315443,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFCSPHIGHO2_12_FULL_OD1_Magasanikbacteria_41_16,SAMN04315674,NA,GCA_001782935.1,SAMN04315674,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFCSPLOWO2_02_FULL_OD1_Magasanikbacteria_44_11,SAMN04316017,NA,GCA_001783035.1,SAMN04316017,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFCSPLOWO2_02_FULL_OD1_Magasanikbacteria_47_16,SAMN04316062,NA,GCA_001783045.1,SAMN04316062,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFCSPLOWO2_12_FULL_OD1_Magasanikbacteria_43_12,SAMN04315788,NA,GCA_001783065.1,SAMN04315788,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFOXYA2_FULL_OD1_Magasanikbacteria_44_8,SAMN04314382,NA,GCA_001783135.1,SAMN04314382,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFOXYB1_FULL_OD1_Magasanikbacteria_40_15,SAMN04314494,NA,GCA_001784365.1,SAMN04314494,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RifOxyC12_full_OD1_Magasanikbacteria_33_11,SAMN04314614,NA,GCA_001784405.1,SAMN04314614,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFOXYC2_FULL_OD1_Magasanikbacteria_39_8,SAMN04314600,NA,GCA_001783195.1,SAMN04314600,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFOXYC2_FULL_OD1_Magasanikbacteria_42_28,SAMN04316181,NA,GCA_001784435.1,SAMN04316181,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFOXYD1_FULL_OD1_Magasanikbacteria_40_23,SAMN04314716,NA,GCA_001783215.1,SAMN04314716,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFOXYD12_FULL_OD1_Magasanikbacteria_33_17,SAMN04314628,NA,GCA_001783255.1,SAMN04314628,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFOXYD2_FULL_OD1_Magasanikbacteria_36_9,SAMN04314658,NA,GCA_001784455.1,SAMN04314658,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFOXYD2_FULL_OD1_Magasanikbacteria_41_14,SAMN04314659,NA,GCA_001784475.1,SAMN04314659,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria,SAMN03319833,NA,GCA_001001525.1,SAMN03319833,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_CG2_30_FULL_Moranbacteria_OD1_45_14,SAMN04328275,NA,GCA_001873245.1,SAMN04328275,PRJNA297582
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_CG2_30_SUB10_Moranbacteria_OD1_41_165,SAMN04328314,NA,GCA_001873875.1,SAMN04328314,PRJNA297582
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RBG_13_OD1_Moranbacteria_45_13,SAMN04316164,NA,GCA_001784675.1,SAMN04316164,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RBG_19FT_COMBO_OD1_Moranbacteria_42_6,SAMN04314073,NA,GCA_001784645.1,SAMN04314073,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RIFCSPHIGHO2_01_FULL_OD1_Moranbacteria_54_31,SAMN04315031,NA,GCA_001784695.1,SAMN04315031,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RIFCSPHIGHO2_01_FULL_OD1_Moranbacteria_55_24,SAMN04314961,NA,GCA_001786575.1,SAMN04314961,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RIFCSPHIGHO2_12_FULL_OD1_Moranbacteria_40_10,SAMN04315643,NA,GCA_001786615.1,SAMN04315643,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RIFCSPLOWO2_12_FULL_OD1_Moranbacteria_48_12,SAMN04315797,NA,GCA_001784735.1,SAMN04315797,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RifOxyA12_full_OD1_Moranbacteria_35_19,SAMN04314392,NA,GCA_001784805.1,SAMN04314392,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RifOxyA12_full_OD1_Moranbacteria_44_15,SAMN04314409,NA,GCA_001784815.1,SAMN04314409,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RIFOXYB1_FULL_OD1_Moranbacteria_44_23,SAMN04314495,NA,GCA_001784895.1,SAMN04314495,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RIFOXYC1_FULL_OD1_Moranbacteria_44_13,SAMN04314541,NA,GCA_001784885.1,SAMN04314541,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_MoranbacteriaOD1_i_GWA2_OD1_39_41,SAMN03319479,NA,GCA_000995125.1,SAMN03319479,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_MoranbacteriaOD1_i_GWC2_OD1_i_37_82,SAMN03319392,NA,GCA_000992165.1,SAMN03319392,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_MoranbacteriaOD1_i_GWC2_OD1_i_45_10,SAMN03319818,NA,GCA_001001155.1,SAMN03319818,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_MoranbacteriaOD1_i_GWD1_OD1_37_17,SAMN03319373,NA,GCA_000989885.1,SAMN03319373,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_MoranbacteriaOD1_i_GWE1_OD1_ACD7_35_17,SAMN03319295,NA,GCA_000990515.1,SAMN03319295,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_MoranbacteriaOD1_i_GWE1_OD1_i_ACD11_lin_49_15,SAMN03319972,NA,GCA_001003855.1,SAMN03319972,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_MoranbacteriaOD1_i_GWE2_OD1_36_40,SAMN03319345,NA,GCA_000991645.1,SAMN03319345,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_MoranbacteriaOD1_i_GWF1_OD1_34_10,SAMN03319280,NA,GCA_000990175.1,SAMN03319280,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_CG1_02_FULL_Nomurabacteria_OD1_31_12,SAMN04328178,NA,GCA_001871725.1,SAMN04328178,PRJNA297582
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_CG1_02_FULL_Nomurabacteria_OD1_43_90,SAMN04328233,NA,GCA_001871765.1,SAMN04328233,PRJNA297582
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_CG1_02_FULL_Nomurabacteria_OD1_47_685,SAMN04328200,NA,GCA_001871775.1,SAMN04328200,PRJNA297582
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_CG2_30_FULL_Nomurabacteria_OD1_43_9,SAMN04328271,NA,GCA_001873305.1,SAMN04328271,PRJNA297582
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWA1_OD1_37_20_partial,SAMN03319374,NA,GCA_000989615.1,SAMN03319374,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWA1_OD1_43_17,SAMN03319706,NA,GCA_000999245.1,SAMN03319706,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWA2_OD1_40_9,SAMN03319553,NA,GCA_000993955.1,SAMN03319553,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWA2_OD1_41_25_partial,SAMN03319587,NA,GCA_000996985.1,SAMN03319587,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWA2_OD1_43_15,SAMN03319705,NA,GCA_000999185.1,SAMN03319705,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWB1_OD1_36_6,SAMN03319350,NA,GCA_000991735.1,SAMN03319350,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWB1_OD1_37_5,SAMN03319379,NA,GCA_000990255.1,SAMN03319379,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWB1_OD1_40_7,SAMN03319542,NA,GCA_000994705.1,SAMN03319542,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWB1_OD1_47_6_part,SAMN03319932,NA,GCA_000999515.1,SAMN03319932,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWB1_OD1_Nomurabacteria_40_6,SAMN04314242,NA,GCA_001786735.1,SAMN04314242,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWC2_OD1_42_20,SAMN03319641,NA,GCA_000998425.1,SAMN03319641,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWE2_OD1_31_40,SAMN03319247,NA,GCA_000989355.1,SAMN03319247,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_GWF2_OD1_40_31,SAMN03319527,NA,GCA_000994625.1,SAMN03319527,PRJNA273161
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RAAC4_OD1,AWSN00000000,NA,NA,NA,NA
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_01_FULL_OD1_Nomurabacteria_38_19,SAMN04314967,NA,GCA_001786795.1,SAMN04314967,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_01_FULL_OD1_Nomurabacteria_39_10,SAMN04314795,NA,GCA_001786805.1,SAMN04314795,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_01_FULL_OD1_Nomurabacteria_39_9,SAMN04314798,NA,GCA_001786825.1,SAMN04314798,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_01_FULL_OD1_Nomurabacteria_40_12,SAMN04314971,NA,GCA_001785295.1,SAMN04314971,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_01_FULL_OD1_Nomurabacteria_40_20,SAMN04314886,NA,GCA_001786835.1,SAMN04314886,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_01_FULL_OD1_Nomurabacteria_42_16,SAMN04314977,NA,GCA_001785415.1,SAMN04314977,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_02_FULL_OD1_Nomurabacteria_33_12,SAMN04315410,NA,GCA_001785485.1,SAMN04315410,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_02_FULL_OD1_Nomurabacteria_35_13,SAMN04315337,NA,GCA_001785515.1,SAMN04315337,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_02_FULL_OD1_Nomurabacteria_36_29,SAMN04315489,NA,GCA_001786875.1,SAMN04315489,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_02_FULL_OD1_Nomurabacteria_38_15,SAMN04316149,NA,GCA_001785575.1,SAMN04316149,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_02_FULL_OD1_Nomurabacteria_42_19,SAMN04315420,NA,GCA_001785615.1,SAMN04315420,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_33_24,SAMN04315148,NA,GCA_001785735.1,SAMN04315148,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_36_10b,SAMN04315150,NA,GCA_001785725.1,SAMN04315150,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_37_25,SAMN04315059,NA,GCA_001785775.1,SAMN04315059,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_39_17,SAMN04315154,NA,GCA_001785805.1,SAMN04315154,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_39_18,SAMN04315248,NA,GCA_001787005.1,SAMN04315248,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_40_15,SAMN04315064,NA,GCA_001785815.1,SAMN04315064,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_40_18,SAMN04315156,NA,GCA_001785855.1,SAMN04315156,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_41_12,SAMN04315158,NA,GCA_001787035.1,SAMN04315158,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_41_18,SAMN04315252,NA,GCA_001785865.1,SAMN04315252,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_41_52b,SAMN04315254,NA,GCA_001785935.1,SAMN04315254,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_42_17,SAMN04315070,NA,GCA_001785985.1,SAMN04315070,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_46_18,SAMN04315086,NA,GCA_001786015.1,SAMN04315086,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_12_FULL_OD1_Nomurabacteria_37_8,SAMN04315886,NA,GCA_001786175.1,SAMN04315886,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_12_FULL_OD1_Nomurabacteria_40_42,SAMN04315836,NA,GCA_001786195.1,SAMN04315836,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_12_FULL_OD1_Nomurabacteria_44_11,SAMN04315841,NA,GCA_001787125.1,SAMN04315841,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_12_FULL_OD1_Nomurabacteria_46_14,SAMN04315794,NA,GCA_001786225.1,SAMN04315794,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFOXYB1_FULL_OD1_Nomurabacteria_39_16,SAMN04314477,NA,GCA_001787205.1,SAMN04314477,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFOXYC2_FULL_OD1_Nomurabacteria_36_19,SAMN04314577,NA,GCA_001786295.1,SAMN04314577,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_Parcubacteria_bacterium_SCGC_AAA011_N16_Dusel_001_262,SAMN02440548,NA,GCA_000405185.1,SAMN02440548,PRJNA192542
Bacteria_CPR_Parcubacteria_OD1_Parcubacteria_bacterium_SCGC_AB_164_E21_SAK_001_209,SAMN02441619,NA,GCA_000405165.1,SAMN02441619,PRJNA192299
Bacteria_CPR_Parcubacteria_OD1_RBG_13_OD1_48_8,SAMN04314005,NA,GCA_001817655.1,SAMN04314005,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RBG_16_OD1_47_10,SAMN04314031,NA,GCA_001773975.1,SAMN04314031,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-1_RIFCSPHIGHO2_01_FULL_RIF_OD1_10_44_22b,SAMN04314985,NA,GCA_001825145.1,SAMN04314985,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-1_RIFCSPHIGHO2_02_FULL_RIF_OD1_10_39_16,SAMN04315415,NA,GCA_001823745.1,SAMN04315415,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-1_RIFCSPHIGHO2_02_FULL_RIF_OD1_10_39_19,SAMN04315341,NA,GCA_001825295.1,SAMN04315341,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-1_RIFCSPLOWO2_01_FULL_RIF_OD1_10_35_19,SAMN04315243,NA,GCA_001825335.1,SAMN04315243,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-1_RIFCSPLOWO2_01_FULL_RIF_OD1_10_47_33,SAMN04315275,NA,GCA_001824025.1,SAMN04315275,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-1_RIFCSPLOWO2_12_FULL_RIF_OD1_10_39_16,SAMN04315834,NA,GCA_001824215.1,SAMN04315834,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-1_RIFOXYD1_FULL_RIF_OD1_10_39_35,SAMN04314758,NA,GCA_001825445.1,SAMN04314758,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-1_RIFOXYD2_FULL_RIF_OD1_10_43_10,SAMN04314697,NA,GCA_001825475.1,SAMN04314697,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-2_RIFCSPLOWO2_01_FULL_RIF_OD1_02_44_13,SAMN04315139,NA,GCA_001818105.1,SAMN04315139,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-2_RIFCSPLOWO2_02_FULL_RIF_OD1_02_44_20,SAMN04315949,NA,GCA_001818155.1,SAMN04315949,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-2_RIFCSPLOWO2_12_FULL_RIF_OD1_02_44_15,SAMN04315842,NA,GCA_001778905.1,SAMN04315842,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-2_RIFOXYD2_FULL_RIF_OD1_02_43_21,SAMN04314703,NA,GCA_001818275.1,SAMN04314703,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-7_RIFCSPLOWO2_01_FULL_RIF_OD107_43_32,SAMN04315049,NA,GCA_001819335.1,SAMN04315049,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFCSPHIGHO2_01_FULL_RIF_OD1_09_41_20,SAMN04314801,NA,GCA_001818935.1,SAMN04314801,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFCSPHIGHO2_01_FULL_RIF_OD1_09_44_41,SAMN04314900,NA,GCA_001823495.1,SAMN04314900,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFCSPHIGHO2_01_FULL_RIF_OD1_09_49_22,SAMN04314998,NA,GCA_001818945.1,SAMN04314998,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFCSPHIGHO2_01_FULL_RIF_OD1_09_51_10,SAMN04314828,NA,GCA_001823505.1,SAMN04314828,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFCSPHIGHO2_02_FULL_RIF_OD1_09_50_13,SAMN04315518,NA,GCA_001818995.1,SAMN04315518,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFCSPLOWO2_01_FULL_RIF_OD1_09_43_27,SAMN04315260,NA,GCA_001823545.1,SAMN04315260,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFCSPLOWO2_01_FULL_RIF_OD1_09_47_33b,SAMN04315090,NA,GCA_001823575.1,SAMN04315090,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFCSPLOWO2_01_FULL_RIF_OD1_09_50_20,SAMN04315095,NA,GCA_001821435.1,SAMN04315095,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFCSPLOWO2_02_FULL_RIF_OD1_09_51_11,SAMN04316096,NA,GCA_001819075.1,SAMN04316096,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFCSPLOWO2_02_FULL_RIF_OD1_09_54_12,SAMN04315964,NA,GCA_001819095.1,SAMN04315964,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RIFOXYC1_FULL_RIF_OD1_09_52_10,SAMN04314529,NA,GCA_001823595.1,SAMN04314529,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF-OD1-9_RifOxyC12_full_RIF_OD1_09_46_25,SAMN04314615,NA,GCA_001819135.1,SAMN04314615,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF10_RIFCSPHIGHO2_01_FULL_RIF10_48_27,SAMN04314909,NA,GCA_001819745.1,SAMN04314909,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF10_RIFCSPHIGHO2_02_FULL_RIF10_45_13b,SAMN04316142,NA,GCA_001819785.1,SAMN04316142,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF10_RIFCSPHIGHO2_02_FULL_RIF10_45_17b,SAMN04316143,NA,GCA_001819815.1,SAMN04316143,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF10_RIFCSPLOWO2_01_FULL_RIF10_44_230,SAMN04315170,NA,GCA_001819935.1,SAMN04315170,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF10_RIFCSPLOWO2_01_FULL_RIF10_48_26,SAMN04315278,NA,GCA_001819945.1,SAMN04315278,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF10_RIFCSPLOWO2_02_FULL_RIF10_45_11c,SAMN04315952,NA,GCA_001821725.1,SAMN04315952,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF15_RIFCSPHIGHO2_01_FULL_RIF15_43_60,SAMN04314982,NA,GCA_001823715.1,SAMN04314982,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF15_RIFCSPHIGHO2_01_FULL_RIF15_46_25,SAMN04314991,NA,GCA_001825155.1,SAMN04314991,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF15_RIFCSPHIGHO2_01_FULL_RIF15_49_18,SAMN04314911,NA,GCA_001823735.1,SAMN04314911,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF15_RIFCSPHIGHO2_02_FULL_RIF15_43_37,SAMN04315502,NA,GCA_001823795.1,SAMN04315502,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF15_RIFCSPHIGHO2_12_FULL_RIF15_43_12b,SAMN04315645,NA,GCA_001823875.1,SAMN04315645,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF15_RIFCSPHIGHO2_12_FULL_RIF15_44_12b,SAMN04315646,NA,GCA_001823895.1,SAMN04315646,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF15_RIFCSPLOWO2_02_FULL_RIF15_39_26,SAMN04315940,NA,GCA_001825395.1,SAMN04315940,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF15_RIFCSPLOWO2_02_FULL_RIF15_44_12b,SAMN04315948,NA,GCA_001824175.1,SAMN04315948,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF15_RIFCSPLOWO2_02_RIF15_39_10,SAMN04313785,NA,GCA_001824095.1,SAMN04313785,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF16_RIFCSPHIGHO2_01_FULL_RIF16_46_22,SAMN04314990,NA,GCA_001779595.1,SAMN04314990,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF16_RIFCSPHIGHO2_01_FULL_RIF16_46_22b,SAMN04314817,NA,GCA_001820875.1,SAMN04314817,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF16_RIFCSPHIGHO2_01_FULL_RIF16_51_15,SAMN04315002,NA,GCA_001820935.1,SAMN04315002,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF16_RIFCSPHIGHO2_02_FULL_RIF16_43_32b,SAMN04315425,NA,GCA_001820955.1,SAMN04315425,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF16_RIFCSPHIGHO2_02_FULL_RIF16_45_35,SAMN04315509,NA,GCA_001820985.1,SAMN04315509,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF16_RIFCSPHIGHO2_02_FULL_RIF16_46_13,SAMN04315359,NA,GCA_001821015.1,SAMN04315359,PRJNA288027
Bacteria_CPR_Parcubacteria_OD1_RIF16_RIFCSPHIGHO2_02_FULL_RIF16_47_18,SAMN04315361,NA,GCA_001822615.1,SAMN04315361,PRJNA288027
