ORGANISM,NCBI GENOME ACCESSION,JGI IMG SUBMISSION ID
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_01_FULL_OD1_Yanofskybacteria_44_22,SAMN04314899,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_01_FULL_OD1_Yanofskybacteria_44_24,SAMN04314812,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_01_FULL_OD1_Yanofskybacteria_48_25b,SAMN04314822,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_02_FULL_OD1_Yanofskybacteria_38_22b,SAMN04315339,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_02_FULL_OD1_Yanofskybacteria_39_10,SAMN04315414,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_02_FULL_OD1_Yanofskybacteria_41_11,SAMN04316134,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_02_FULL_OD1_Yanofskybacteria_41_29,SAMN04315344,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_02_FULL_OD1_Yanofskybacteria_43_22,SAMN04316135,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_02_FULL_OD1_Yanofskybacteria_44_12,SAMN04315503,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_02_FULL_OD1_Yanofskybacteria_50_12,SAMN04315441,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPHIGHO2_12_FULL_OD1_Yanofskybacteria_45_19b,SAMN04315677,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPLOWO2_01_FULL_OD1_Yanofskybacteria_41_34,SAMN04315068,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPLOWO2_01_FULL_OD1_Yanofskybacteria_42_49,SAMN04315071,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPLOWO2_01_FULL_OD1_Yanofskybacteria_44_88,SAMN04315265,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPLOWO2_01_FULL_OD1_Yanofskybacteria_49_17,SAMN04315094,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPLOWO2_01_FULL_OD1_Yanofskybacteria_49_25,SAMN04315186,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPLOWO2_02_FULL_OD1_Yanofskybacteria_43_10b,SAMN04316080,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPLOWO2_02_FULL_OD1_Yanofskybacteria_45_18,SAMN04316089,
Bacteria_CPR_Parcubacteria_OD1_Yanofskybacteria_RIFCSPLOWO2_02_FULL_OD1_Yanofskybacteria_47_9b,SAMN04316027,
Bacteria_CPR_PER-ii_GWB1_PER_54_5,SAMN03320019,
Bacteria_CPR_Peregrinibacteria_CG1_02_FULL_Peregrinibacteria_PER_41_10,SAMN04328234,
Bacteria_CPR_Peregrinibacteria_CG1_02_FULL_Peregrinibacteria_PER_54_53,SAMN04328202,
Bacteria_CPR_PeregrinibacteriaPER_GWA2_PER_44_7,SAMN03319800,
Bacteria_CPR_PeregrinibacteriaPER_PER_GWC2_39_14,SAMN03319462,
Bacteria_CPR_PeregrinibacteriaPER_PER_GWF2_33_10,SAMN03319256,
Bacteria_CPR_PeregrinibacteriaPER_PER_GWF2_39_17,SAMN03319465,
Bacteria_CPR_PeregrinibacteriaPER_PER_GWF2_43_17,SAMN03319709,
Bacteria_CPR_Saccharibacteria_TM7_candidate_division_TM7_genomosp._GTL1_unfinished_sequence,SAMN02469743,
Bacteria_CPR_Saccharibacteria_TM7_Candidatus_Saccharibacteria_Candidatus_TM7_s1_Draft1_Illumina_assembly,,6889
Bacteria_CPR_Saccharibacteria_TM7_Candidatus_Saccharibacteria_Candidatus_TM7_s7_Draft1_Illumina_assembly,,6900
Bacteria_CPR_Saccharibacteria_TM7_Candidatus_Saccharibacteria_Candidatus_TM7_SBR2,,9492
Bacteria_CPR_Saccharibacteria_TM7_Candidatus_Saccharibacteria_Candidatus_TM7_SBR3,,9732
Bacteria_CPR_Saccharibacteria_TM7_Candidatus_Saccharibacteria_Candidatus_TM7_SBR4,,9733
Bacteria_CPR_Saccharibacteria_TM7_Candidatus_Saccharimonas_aalborgensis_complete,PRJNA201542,25985
Bacteria_CPR_Saccharibacteria_TM7_CG2_30_FULL_Saccharibacteria_TM7_41_52,SAMN04328313,
Bacteria_CPR_Saccharibacteria_TM7_GWC2_TM7_44_17_complete,SAMN03319767,
Bacteria_CPR_Saccharibacteria_TM7_GWC2_TM7_48_9,SAMN03319966,
Bacteria_CPR_Saccharibacteria_TM7_RAAC3_TM7_complete,NC_023004,
Bacteria_CPR_Saccharibacteria_TM7_RIFCSPHIGHO2_01_FULL_Saccharibacteria_45_15,SAMN04314860,
Bacteria_CPR_Saccharibacteria_TM7_RIFCSPHIGHO2_02_FULL_Saccharibacteria_47_12,SAMN04315467,
Bacteria_CPR_Saccharibacteria_TM7_RIFCSPHIGHO2_12_FULL_Saccharibacteria_41_12,SAMN04315689,
Bacteria_CPR_Saccharibacteria_TM7_RIFCSPHIGHO2_12_FULL_Saccharibacteria_42_8,SAMN04315752,
Bacteria_CPR_Saccharibacteria_TM7_RIFCSPHIGHO2_12_FULL_Saccharibacteria_47_16b,SAMN04315753,
Bacteria_CPR_Saccharibacteria_TM7_RIFCSPHIGHO2_12_FULL_Saccharibacteria_47_17,SAMN04315657,
Bacteria_CPR_Saccharibacteria_TM7_RIFCSPHIGHO2_12_FULL_Saccharibacteria_48_21,SAMN04315690,
Bacteria_CPR_Saccharibacteria_TM7_RIFCSPHIGHO2_12_FULL_Saccharibacteria_49_19,SAMN04315601,
Bacteria_CPR_WWE3_CG2_30_FULL_WWE3_related_40_12,SAMN04328250,
Bacteria_CPR_WWE3_CSP1_7,SAMN03462091,
Bacteria_CPR_WWE3_GWA2_WWE3_44_16,SAMN03319765,
Bacteria_CPR_WWE3_GWA2_WWE3_46_9,SAMN03319900,
Bacteria_CPR_WWE3_GWB1_WWE3_41_6,SAMN03319601,
Bacteria_CPR_WWE3_GWB1_WWE3_42_6,SAMN03319664,
Bacteria_CPR_WWE3_RAAC2_WWE3_complete,CP006914,
Bacteria_CPR_WWE3_RBG_13_WWE3_37_7,SAMN04316231,
Bacteria_CPR_WWE3_RBG_16_WWE3_37_10,SAMN04313753,
Bacteria_CPR_WWE3_RBG_19FT_COMBO_WWE3_34_6,SAMN04313670,
Bacteria_CPR_WWE3_RBG_19FT_COMBO_WWE3_53_11,SAMN04313675,
Bacteria_CPR_WWE3_RIFCSPHIGHO2_01_FULL_WWE3_35_17,SAMN04314866,
Bacteria_CPR_WWE3_RIFCSPHIGHO2_01_FULL_WWE3_40_23,SAMN04314869,
Bacteria_CPR_WWE3_RIFCSPHIGHO2_01_FULL_WWE3_42_13,SAMN04315039,
Bacteria_CPR_WWE3_RIFCSPHIGHO2_01_FULL_WWE3_48_15,SAMN04314950,
Bacteria_CPR_WWE3_RIFCSPHIGHO2_12_FULL_WWE3_38_15,SAMN04315659,
Bacteria_CPR_WWE3_RIFCSPLOWO2_01_FULL_WWE3_37_15,SAMN04315222,
Bacteria_CPR_WWE3_RIFCSPLOWO2_01_FULL_WWE3_39_13,SAMN04315135,
Bacteria_CPR_WWE3_RIFCSPLOWO2_01_FULL_WWE3_42_11,SAMN04315223,
Bacteria_CPR_WWE3_RIFCSPLOWO2_01_FULL_WWE3_53_14,SAMN04315043,
Bacteria_CPR_WWE3_RIFCSPLOWO2_12_FULL_WWE3_36_10,SAMN04315914,
Bacteria_CPR_WWE3_RIFOXYA2_FULL_WWE3_46_9,SAMN04314385,
Bacteria_CPR_WWE3_RIFOXYC1_FULL_WWE3_42_17,SAMN04314546,
Bacteria_CPR_WWE3_RIFOXYD1_FULL_WWE3_39_9,SAMN04314772,
Bacteria_CPR_WWE3_RIFOXYD1_FULL_WWE3_43_17,SAMN04316189,
Bacteria_CPR_WWE3_RIFOXYD2_FULL_WWE3_43_10,SAMN04314700,
Bacteria_CPR2_CG2_30_FULL_CPR2_33_46,SAMN04328249,
Bacteria_CPR2_CG2_30_FULL_CPR2_37_16,SAMN04328267,
Bacteria_CPR2_GWC2_CPR2_39_10,SAMN03319447,
Bacteria_CPR2_GWD2_CPR2_39_7,SAMN03319489,
Bacteria_Cyanobacteria_Chroococcales_Acaryochloris_marina_MBIC11017,NC_009925,
Bacteria_Cyanobacteria_Chroococcales_Chamaesiphon_sp._PCC_6605,NC_019697,
Bacteria_Cyanobacteria_Chroococcales_Crocosphaera_watsonii_WH_8501,NZ_AADV00000000,
Bacteria_Cyanobacteria_Chroococcales_Cyanobacterium_stanieri_PCC_7202,CP003940,
Bacteria_Cyanobacteria_Chroococcales_Cyanobacterium_UCYN_A,NC_013771,
Bacteria_Cyanobacteria_Chroococcales_Cyanobium_gracile_PCC_6307,NC_019675,
Bacteria_Cyanobacteria_Chroococcales_Cyanothece_sp._PCC_7425,NC_011884,
Bacteria_Cyanobacteria_Chroococcales_Dactylococcopsis_salina_PCC_8305,NC_019780,
Bacteria_Cyanobacteria_Chroococcales_Gloeocapsa_sp._PCC_73106,SAMN02261353,
Bacteria_Cyanobacteria_Chroococcales_Halothece_cluster_Halothece_sp._PCC_7418,NC_019779,
Bacteria_Cyanobacteria_Chroococcales_Rubidibacter_lacunae_KORDI_51_2_k51_img_annotated_130412,NZ_ASSJ00000000,
Bacteria_Cyanobacteria_Chroococcales_Synechococcus_sp._CC9902,NC_007513,
Bacteria_Cyanobacteria_Chroococcales_Synechocystis_sp._PCC_6308,NZ_CM001775,
Bacteria_Cyanobacteria_Chroococcales_Synechocystis_sp._PCC_6803,NZ_ALVU00000000,
Bacteria_Cyanobacteria_Chroococcales_Thermosynechococcus_elongatus_BP_1,NC_004113,
Bacteria_Cyanobacteria_Gloeobacteria_Gloeobacterales_Gloeobacter_violaceus_PCC_7421,NC_005125,
Bacteria_Cyanobacteria_Nostocales_Microchaetaceae_Fremyella_diplosiphon_UTEX_481,NZ_AGCR00000000,
Bacteria_Cyanobacteria_Nostocales_Microchaetaceae_Microchaete_sp._PCC_7126,NZ_ANFJ00000000,
Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Anabaena_circinalis_AWQC131C_Submitted_file_with_automatic_translation_by_Kostas,SAMN02471998,
Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Anabaena_cylindrica_PCC_7122,NC_019771,
Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Aphanizomenon_flos_aquae_NIES_81,NZ_AZYY00000000,
Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Cylindrospermopsis_raciborskii_509_upload_fresh_set,NZ_ACYA00000000,
Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Cylindrospermum_stagnale_PCC_7417,NC_019757,
Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Nodularia_spumigena_CCY9414,NZ_CP007203,
Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Nostoc_azollae,SAMN02598476,
Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Nostoc_sp._PCC_7524,NC_019684,
Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Raphidiopsis_brookii_D9_D9_7,NZ_ACYB00000000,
Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Richelia_intracellularis_HH01,NZ_CAIY00000000,
Bacteria_Cyanobacteria_Nostocales_Rivulariaceae_Calothrix_sp._PCC_6303,NC_019751,
Bacteria_Cyanobacteria_Nostocales_Rivulariaceae_Rivularia_sp._PCC_7116,NC_019678,
Bacteria_Cyanobacteria_Oscillatoriales_Arthrospira_platensis_NIES_39,NC_016640,
Bacteria_Cyanobacteria_Oscillatoriales_Crinalium_epipsammum_PCC_9333,NC_019753,
Bacteria_Cyanobacteria_Oscillatoriales_Geitlerinema_sp._PCC_7407,NC_019703,
Bacteria_Cyanobacteria_Oscillatoriales_Leptolyngbya_sp._PCC_7104,NZ_ALVP00000000,
Bacteria_Cyanobacteria_Oscillatoriales_Lyngbya_majuscula_3L,NZ_AEPQ00000000,
Bacteria_Cyanobacteria_Oscillatoriales_Lyngbya_sp._PCC_8106_unfinished_sequence,NZ_AAVU00000000,
Bacteria_Cyanobacteria_Oscillatoriales_Microcoleus_chthonoplastes_PCC_7420_scf_1103659003820_genomic_scaffold,NZ_ABRS00000000,
Bacteria_Cyanobacteria_Oscillatoriales_Microcoleus_sp._PCC_7113,NC_019738,
Bacteria_Cyanobacteria_Oscillatoriales_Oscillatoria_sp._PCC_6506,NZ_CACA00000000,
Bacteria_Cyanobacteria_Oscillatoriales_Oscillatoria_sp._PCC_7112,NC_019729,
Bacteria_Cyanobacteria_Oscillatoriales_Oscillatoriales_sp._JSC_1,SAMN02261267,
Bacteria_Cyanobacteria_Oscillatoriales_Planktothrix_agardhii_NIVA_CYA_34,SAMN02261500,
Bacteria_Cyanobacteria_Oscillatoriales_Pseudanabaena_sp._PCC_7367,NC_019701,
Bacteria_Cyanobacteria_Oscillatoriales_Trichodesmium_erythraeum_IMS101,NC_008312,
Bacteria_Cyanobacteria_Oscillatoriophycideae_Oscillatoriales_Spirulina_major_PCC_6313,SAMN02744077,
Bacteria_Cyanobacteria_Pleurocapsales_Chroococcidiopsis_thermalis_PCC_7203,NC_019695,
Bacteria_Cyanobacteria_Pleurocapsales_Myxosarcina_sp._GI1,NZ_JRFE00000000,
Bacteria_Cyanobacteria_Pleurocapsales_Pleurocapsa_sp._PCC_7327,NC_019689,
Bacteria_Cyanobacteria_Pleurocapsales_Stanieria_cyanosphaera_PCC_7437,NC_019748,
Bacteria_Cyanobacteria_Pleurocapsales_Xenococcus_sp._PCC_7305,NZ_ALVZ00000000,
Bacteria_Cyanobacteria_Prochlorales_Prochloraceae_Prochloron_didemni_P3_Solomon,SAMN02954251,
Bacteria_Cyanobacteria_Prochlorales_Prochlorococcaceae_Prochlorococcus_marinus_str._MIT_9301,NC_009091,
Bacteria_Cyanobacteria_Prochlorales_Prochlorotrichaceae_Prochlorothrix_hollandica_PCC_9006,NZ_ANKN00000000,
Bacteria_Cyanobacteria_Stigonematales_Chlorogloeposis_fritschii_PCC_6912_CLC_Draft_2,NZ_AJLN00000000,
Bacteria_Cyanobacteria_Stigonematales_Fischerella_muscicola_SAG_1427_1,NZ_AJLJ00000000,
Bacteria_Cyanobacteria_Stigonematales_Mastigocladopsis_repens_MORA_PCC_10914,NZ_ALVW00000000,
Bacteria_Dadabacteria_RIFCSPHIGHO2_12_FULL_Dadabacteria_53_21,SAMN04316130,
Bacteria_Deferribacteres_Deferribacteres_Deferribacterales_Deferribacteraceae_Calditerrivibrio_nitroreducens_DSM_19672,NC_014758,
Bacteria_Deferribacteres_Deferribacteres_Deferribacterales_Deferribacteraceae_Deferribacter_desulfuricans_SSM1,NC_013939,
Bacteria_Deferribacteres_Deferribacteres_Deferribacterales_Deferribacteraceae_Denitrovibrio_acetiphilus_DSM_12809,NC_013943,
Bacteria_Deferribacteres_Deferribacteres_Deferribacterales_Deferribacteraceae_Flexistipes_sinusarabici_MAS10_DSM_4947,NC_015672,
Bacteria_Deferribacteres_Deferribacteres_Deferribacterales_Deferribacteraceae_Geovibrio_thiophilus_L21_Ace_BES,NZ_ATWF00000000,
Bacteria_Deferribacteres_Deferribacteres_Deferribacterales_Deferribacteraceae_Mucispirillum_schaedleri_ASF457,NZ_AYGZ00000000,
Bacteria_Deferribacteres_Deferribacteres_Deferribacterales_Selenovibrio_woodruffii_S4,SAMN03159438,
Bacteria_Deinococcus_Thermus_Deinococci_Deinococcales_Deinococcaceae_Deinococcus_geothermalis_DSM_11300,NC_008025,
Bacteria_Deinococcus_Thermus_Deinococci_Deinococcales_Trueperaceae_Truepera_radiovictrix_DSM_17093,NC_014221,
Bacteria_Deinococcus_Thermus_Deinococci_Thermales_Thermaceae_Marinithermus_hydrothermalis_T1_DSM_14884,NC_015387,
Bacteria_Deinococcus_Thermus_Deinococci_Thermales_Thermaceae_Meiothermus_ruber_DSM_1279,NC_021081,
Bacteria_Deinococcus_Thermus_Deinococci_Thermales_Thermaceae_Oceanithermus_profundus_DSM_14977,NC_014761,
Bacteria_Deinococcus_Thermus_Deinococci_Thermales_Thermaceae_Thermus_oshimai_JL_2,NC_019386,
Bacteria_Dictyoglomi_Dictyoglomia_Dictyoglomales_Dictyoglomaceae_Dictyoglomus_thermophilum_H_6_12,NC_011297,
Bacteria_Dictyoglomi_Dictyoglomia_Dictyoglomales_Dictyoglomaceae_Dictyoglomus_turgidum_DSM_6724,NC_011661,
Bacteria_Elusimicrobia_CG1_02_FULL_Elusimicrobia_56_21,SAMN04328207,
Bacteria_Elusimicrobia_CG1_02_FULL_Elusimicrobia_63_36,SAMN04328208,
Bacteria_Elusimicrobia_CG1_02_SUB10_Elusimicrobia_37_114,SAMN04328241,
Bacteria_Elusimicrobia_Elusimicrobia_Elusimicrobiales_Elusimicrobiaceae_Elusimicrobium_minutum_Pei191,NC_010644,
Bacteria_Elusimicrobia_Elusimicrobia_uncultured_Termite_group_1_bacterium_phylotype_Rs_D17,NC_020419,
Bacteria_Elusimicrobia_Endomicrobia_Candidatus_Endomicrobium_trichonymphae_submission_450,SAMN04295901,
Bacteria_Elusimicrobia_GWA2_Elusimicrobia_51_34,SAMN04313854,
Bacteria_Elusimicrobia_GWA2_Elusimicrobia_61_42,SAMN04313856,
Bacteria_Elusimicrobia_GWA2_Elusimicrobia_62_23,SAMN04314170,
Bacteria_Elusimicrobia_GWA2_Elusimicrobia_69_24,SAMN04313857,
Bacteria_Elusimicrobia_GWB2_Elusimicrobia_63_16,SAMN04313851,
Bacteria_Elusimicrobia_GWC2_Elusimicrobia_56_31,SAMN04313860,
Bacteria_Elusimicrobia_GWC2_Elusimicrobia_61_19,SAMN04314202,
Bacteria_Elusimicrobia_GWC2_Elusimicrobia_65_9,SAMN04313861,
Bacteria_Elusimicrobia_GWD2_Elusimicrobia_63_28,SAMN04314210,
Bacteria_Elusimicrobia_GWF2_Elusimicrobia_62_30,SAMN04314137,
Bacteria_Elusimicrobia_RBG_16_Elusimicrobia_66_12,SAMN04313709,
Bacteria_Elusimicrobia_RIFCSPHIGHO2_02_FULL_Elusimicrobia_57_9,SAMN04316162,
Bacteria_Elusimicrobia_RIFCSPHIGHO2_02_FULL_Elusimicrobia_61_10,SAMN04316158,
Bacteria_Elusimicrobia_RIFCSPLOWO2_01_FULL_Elusimicrobia_54_10,SAMN04315054,
Bacteria_Elusimicrobia_RIFCSPLOWO2_01_FULL_Elusimicrobia_59_12,SAMN04315145,
Bacteria_Elusimicrobia_RIFCSPLOWO2_01_FULL_Elusimicrobia_60_11,SAMN04315239,
Bacteria_Elusimicrobia_RIFCSPLOWO2_01_FULL_Elusimicrobia_64_13,SAMN04315055,
Bacteria_Elusimicrobia_RIFCSPLOWO2_02_FULL_Elusimicrobia_39_32,SAMN04315999,
Bacteria_Elusimicrobia_RIFCSPLOWO2_12_FULL_Elusimicrobia_59_9,SAMN04315829,
Bacteria_Elusimicrobia_RifOxyA12_full_Elusimicrobia_57_11,SAMN04314406,
Bacteria_Elusimicrobia_RIFOXYA2_FULL_Elusimicrobia_39_19,SAMN04314373,
Bacteria_Elusimicrobia_RIFOXYA2_FULL_Elusimicrobia_40_6,SAMN04316171,
Bacteria_Elusimicrobia_RIFOXYA2_FULL_Elusimicrobia_47_53,SAMN04314372,
Bacteria_Elusimicrobia_RIFOXYA2_FULL_Elusimicrobia_53_38,SAMN04314339,
Bacteria_Elusimicrobia_RIFOXYA2_FULL_Elusimicrobia_69_6,SAMN04316170,
Bacteria_Elusimicrobia_RIFOXYB2_FULL_Elusimicrobia_48_7,SAMN04314418,
Bacteria_Elusimicrobia_RIFOXYB2_FULL_Elusimicrobia_49_7,SAMN04314414,
Bacteria_Elusimicrobia_RIFOXYB2_FULL_Elusimicrobia_50_12,SAMN04314435,
Bacteria_Elusimicrobia_RIFOXYB2_FULL_Elusimicrobia_62_6,SAMN04316167,
Bacteria_Elusimicrobia_RIFOXYD12_FULL_Elusimicrobia_66_9,SAMN04314627,
Bacteria_Elusimicrobia_RIFOXYD2_FULL_Elusimicrobia_34_15,SAMN04314660,
Bacteria_Elusimicrobia_RIFOXYD2_FULL_Elusimicrobia_34_30,SAMN04314704,
Bacteria_Fibrobacteres_Acidobacteria_Fibrobacteres_Fibrobacteria_Fibrobacterales_CG2_30_FULL_Fibrobacteres_45_31,SAMN04328287,
Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Acidobacterium_capsulatum_ATCC_51196,NC_012483,
Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Acidobacterium_sp._MP5ACTX8,NC_016631,
Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Candidatus_Koribacter_versatilis_Ellin345,NC_008009,
Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Edaphobacter_aggregans_DSM_19364,NZ_JQKI00000000,
Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Terriglobus_saanensis_SP1PR4,NC_014963,
Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_Holophagae_Holophagales_Holophagaceae_Geothrix_fermentans_DSM_14018,NZ_AUAU00000000,
Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_Holophagae_Holophagales_Holophagaceae_Holophaga_foetida_TMBS4_DSM_6591,NZ_AGSB00000000,
Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_Solibacteres_Solibacterales_Solibacteraceae_Solibacter_usitatus_Ellin6076,NC_008536,
Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_unclassified_Acidobacteria_Bryobacter_aggregatus_DSM_18758,NZ_JNIF00000000,
Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_unclassified_Acidobacteria_Thermoanaerobaculum_aquaticum_MP_01,NZ_JMFG00000000,
Bacteria_FibrobacteresAcidobacteria_group_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_succinogenes_elongatus_HM2,PRJNA254841,52924
Bacteria_FibrobacteresAcidobacteria_group_Fibrobacteres_Fibrobacteria_Fibrobacterales_Fibrobacteraceae_Fibrobacter_succinogenes_subsp._succinogenes_S85,NC_017448,
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae_Alicyclobacillus_acidocaldarius_LAA1_unfinished_sequence,SAMN02441801,
Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae_Tumebacillus_flagellatus_GST4,NZ_JMIR00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Alkalibacillus_haloalkaliphilus_C5,NZ_AKIF00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Amphibacillus_xylanus_NBRC_15112,NC_018704,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_flavithermus_WK1,NC_011567,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_anthracis_52_G,NZ_CM002395,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_gelatini_DSM_15865,NZ_AUMP00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_selenitireducens_MLS10,NC_014219,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_tusciae_DSM_2912,NC_014098,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Caldalkalibacillus_thermarum_TA2.A1_ctg240,NZ_AFCE00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus_debilis_gb1_GenePRIMP,NZ_ARVR00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus_kaustophilus_HTA426,NC_006510,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Gracilibacillus_lacisalsi_DSM_19029,NZ_ARIY00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Halalkalibacillus_halophilus_DSM_18494,NZ_AUHI00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Halobacillus_halophilus_DSM_2266,NC_017668,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Lentibacillus_sp._Grbi,NZ_AGAV00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Lysinibacillus_sphaericus_C3_41,CP000817,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Marinococcus_halotolerans_DSM_16375,NZ_ATVM00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Oceanobacillus_iheyensis_HTE831,NC_004193,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Ornithinibacillus_sp._TW25,NZ_AEWH00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Paucisalibacillus_globulus_DSM_18846,NZ_AXVK00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Pontibacillus_halophilus_DSM_19796,NZ_AULI00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Salimicrobium_sp._MJ3,NZ_AMPQ00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Salsuginibacillus_kocurii_DSM_18087,NZ_ARIV00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Sediminibacillus_halophilus_NSP9.3,NZ_AWXX00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Terribacillus_aidingensis_MP602,NZ_CP008876,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Thalassobacillus_devorans_MSP14,NZ_AWXW00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Virgibacillus_sp._CM_4,NZ_CP007161,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillales_incertae_sedis_Bacillales_Family_X._Incertae_Sedis_Thermicanus_aegyptius_DSM_12793,NZ_AZNU00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillales_incertae_sedis_Bacillales_Family_XI._Incertae_Sedis_Gemella_haemolysans_ATCC_10379,SAMN00000721,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillales_incertae_sedis_Bacillales_Family_XII._Incertae_Sedis_Exiguobacterium_sp._AT1b,NC_012673,
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillales_incertae_sedis_Bhargavaea_cecembensis_DSE10,SAMN02469443,
Bacteria_Firmicutes_Bacilli_Bacillales_Listeriaceae_Brochothrix_thermosphacta_FSL_F6_1036,NZ_JHZM00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Listeriaceae_Listeria_innocua_sv._6a_Clip11262,NC_003212,
Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Aneurinibacillus_group_Aneurinibacillus_terranovensis_DSM_18919,NZ_AUMJ00000000,
Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Brevibacillus_brevis_NBRC_100599,NC_012491,
Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Cohnella_panacarvi_Gsoil_349_DSM_18696,NZ_AZXQ00000000,
