SRA Experiment Accession,Experiment Title,Instrument Model,Library Layout,Library Source,Sample Attribute,Study Accession,Study Title,Submission Center,Submission Date,Submission Lab,Taxon Id,Updated Date,Nucleotide Count,Read Count,Assembly L50,Assembly N50,CLC Bubble Size,CLC Word Size,Mapped Reads (%),Assembled Bases,Assembled Contigs,Assembled Scaffolds,MetaBAT Bins,MetaBAT Preset,Near-complete Genomes,Medium-quality Genomes,Partial Genomes,Archaeal Genomes,Archaeal PD,Archaeal PG,Bacterial Genomes,Bacterial PD,Bacterial PG
SRX806407,Industrial sediments before rain event 2_rep3,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,10370795342,102681142,2584,5328,50,24,21.48,59605272,41328,12581,20,superspecific,0,0,1,0,0,0,1,0.00%,0.02%
SRX806408,Industrial sediments before rain event 2_rep4,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,6828081972,67604772,1024,4127,50,24,18.38,20618848,18384,4941,6,superspecific,0,0,0,0,0,0,0,0,0
SRX806410,Industrial sediments before rain event 2_rep6,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,5521982898,54673098,933,4281,50,24,16.57,17856500,19389,4282,4,verysensitive,0,0,0,0,0,0,0,0,0
SRX806411,Industrial sediments after rain event 1_rep1,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,4024049676,39842076,393,6489,50,23,9.47,14134053,10908,2637,4,superspecific,0,0,0,0,0,0,0,0,0
SRX806412,Industrial sediments after rain event 1_rep2,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,9949519494,98510094,1869,4622,50,24,19.97,36597144,26418,8314,9,veryspecific,0,0,0,0,0,0,0,0,0
SRX806413,Industrial sediments after rain event 1_rep3,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,5861544090,58035090,773,5196,50,24,17.85,18354258,11909,3889,6,superspecific,0,0,0,0,0,0,0,0,0
SRX806414,Industrial sediments after rain event 1_rep4,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,5940752936,58819336,3062,5744,50,24,32.78,80385445,54552,16098,36,superspecific,1,1,1,0,0,0,3,0.18%,0.02%
SRX806415,Industrial sediments after rain event 1_rep5,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,5935447608,58766808,2261,4390,50,24,32.71,45350730,39475,10597,17,superspecific,1,0,0,0,0,0,1,0.00%,0.00%
SRX806416,Industrial sediments after rain event 1_rep6,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,9025678150,89363150,4023,4443,50,24,32.37,79096320,50931,18250,25,veryspecific,1,1,0,0,0,0,1,0.00%,0.00%
SRX806417,Industrial sediments after rain event 2_rep1,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,5588636232,55333032,718,7806,50,24,23.51,25201019,16521,4629,9,superspecific,0,0,0,0,0,0,0,0,0
SRX806418,Industrial sediments after rain event 2_rep2,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,5532408118,54776318,897,4300,50,24,16.11,14668200,14735,3582,6,superspecific,0,0,0,0,0,0,0,0,0
SRX806419,Industrial sediments after rain event 2_rep3,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,7913020942,78346742,1020,6232,50,24,24.44,37973492,22559,7324,14,superspecific,1,0,0,0,0,0,1,0.00%,0.03%
SRX806420,Industrial sediments after rain event 2_rep4,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,6748747684,66819284,2017,4861,50,24,17.73,40720983,31927,9020,13,verysensitive,0,0,0,0,0,0,0,0,0
SRX806421,Industrial sediments after rain event 2_rep5,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,6338426700,62756700,1745,4173,50,24,18.08,28983931,26400,7094,13,superspecific,0,0,0,0,0,0,0,0,0
SRX806422,Industrial sediments after rain event 2_rep6,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: Industrial || isolation source: Sediment || collection_date: 2012-01-15 || depth: 5cm || elev: 15m || env_biome: Tropical || env_feature: Urban waterways || env_material: Sediments || geo_loc_name: Singapore || lat_lon: 1.3356 N 103.7491 E || samp_s,SRP051069,Urban waterways sediment Metagenome,National University of Singapore,None,The Singapore Centre on Environmental Life Science,749907,1/14/15,7125679482,70551282,955,4955,50,24,13.83,20313176,15012,4523,6,superspecific,0,0,0,0,0,0,0,0,0
SRX822032,Shotgun sequencing of environmental sample: Sample P00007,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 25-Jun-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.73 N 73.99 W || isolate: P00007 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,691037750,5528302,1041,8156,50,22,87.34,33733035,8630,5357,12,veryspecific,0,0,0,0,0,0,0,0,0
SRX822033,Shotgun sequencing of environmental sample: Sample P00008,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 25-Jun-2013 || env_biome: city || env_feature: park || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.73 N 73.99 W || isolate: P00008 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,654447000,5235576,3,490187,50,22,95.07,3975929,369,289,2,superspecific,0,1,0,0,0,0,1,0.00%,0.00%
SRX822034,Shotgun sequencing of environmental sample: Sample P00009,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 25-Jun-2013 || env_biome: city || env_feature: park || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.73 N 73.99 W || isolate: P00009 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,602782500,4822260,179,13486,50,22,88.99,18421080,4067,2114,7,superspecific,2,0,0,0,0,0,0,0,0
SRX822035,Shotgun sequencing of environmental sample: Sample P00010,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 25-Jun-2013 || env_biome: city || env_feature: park || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.73 N 73.99 W || isolate: P00010 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,591889750,4735118,143,38209,50,22,93.96,25009742,3228,2169,8,superspecific,4,0,0,0,0,0,0,0,0
SRX822037,Shotgun sequencing of environmental sample: Sample P00024,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 25-Jun-2013 || env_biome: city || env_feature: park || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.73 N 73.99 W || isolate: P00024 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,572393250,4579146,12,137849,50,21,81.69,8187384,373,240,2,superspecific,2,0,0,0,0,0,0,0,0
SRX822038,Shotgun sequencing of environmental sample: Sample P00027,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 08-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.93 W || isolate: P00027 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,627781250,5022250,153,12474,50,22,90.14,7246199,1947,960,4,superspecific,0,2,0,0,0,0,1,0.00%,0.00%
SRX822039,Shotgun sequencing of environmental sample: Sample P00030,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 08-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.75 N 73.91 W || isolate: P00030 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,637158000,5097264,71,22486,50,22,90.97,17983638,3261,2190,8,superspecific,1,1,0,0,0,0,0,0,0
SRX822041,Shotgun sequencing of environmental sample: Sample P00032,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 08-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.89 W || isolate: P00032 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,677287750,5418302,467,11766,50,22,83.2,28221191,5870,3907,7,veryspecific,0,1,0,0,0,0,0,0,0
SRX822042,Shotgun sequencing of environmental sample: Sample P00033,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 08-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.88 W || isolate: P00033 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,604386750,4835094,48,63374,50,22,92.62,13795674,1233,808,5,superspecific,2,1,0,0,0,0,0,0,0
SRX822060,Shotgun sequencing of environmental sample: Sample P00059,Illumina MiSeq,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 09-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.73 N 73.99 W || isolate: P00059 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,641878250,5135026,231,12905,50,22,72.96,20231434,4149,2682,6,superspecific,2,0,1,0,0,0,2,0.08%,0.00%
SRX822061,Shotgun sequencing of environmental sample: Sample P00060,Illumina MiSeq,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 09-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.73 N 73.99 W || isolate: P00060 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,650466000,5203728,531,5267,50,22,92.57,16584312,4484,3260,6,superspecific,1,0,0,0,0,0,0,0,0
SRX822064,Shotgun sequencing of environmental sample: Sample P00063,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 10-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.65 N 73.96 W || isolate: P00063 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,569562250,4556498,154,10468,50,21,95.99,12640214,2600,1727,7,superspecific,1,0,0,0,0,0,0,0,0
SRX822065,Shotgun sequencing of environmental sample: Sample P00064,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 10-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.65 N 73.96 W || isolate: P00064 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,1470130750,14555750,259,14980,50,22,93.5,24619251,8623,3022,12,superspecific,2,0,0,0,0,0,0,0,0
SRX822068,Shotgun sequencing of environmental sample: Sample P00068,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 10-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.63 N 73.96 W || isolate: P00068 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,680580250,5444642,697,6651,50,22,79.55,20855322,6772,3778,12,superspecific,0,0,0,0,0,0,0,0,0
SRX822087,Shotgun sequencing of environmental sample: Sample P00093,Illumina MiSeq,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 11-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.75 N 73.98 W || isolate: P00093 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,632355500,5058844,162,24937,50,22,95.08,30333412,4815,3294,11,superspecific,3,1,0,0,0,0,3,0.24%,0.00%
SRX822093,Shotgun sequencing of environmental sample: Sample P00102,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 11-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.90 W || isolate: P00102 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,1529576522,15144322,313,28771,50,22,95.86,39544026,10948,3818,16,superspecific,6,0,0,0,0,0,4,0.25%,0.00%
SRX822094,Shotgun sequencing of environmental sample: Sample P00103,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 11-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.90 W || isolate: P00103 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,632147750,5057182,85,28205,50,22,91.59,13622243,1967,1399,7,superspecific,1,1,0,0,0,0,0,0,0
SRX822095,Shotgun sequencing of environmental sample: Sample P00107,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 11-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.86 W || isolate: P00107 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,584648600,5788600,414,11980,50,21,81.58,19715632,4164,2717,10,superspecific,0,1,0,0,0,0,0,0,0
SRX822096,Shotgun sequencing of environmental sample: Sample P00108,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 11-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.86 W || isolate: P00108 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,583312370,5775370,171,10784,50,21,89.24,12913403,3668,1838,9,superspecific,1,0,0,0,0,0,0,0,0
SRX822097,Shotgun sequencing of environmental sample: Sample P00109,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 11-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.86 W || isolate: P00109 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,613413500,4907308,113,16187,50,22,91.76,12838878,2267,1629,5,veryspecific,1,1,0,0,0,0,0,0,0
SRX822098,Shotgun sequencing of environmental sample: Sample P00111,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 11-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.75 N 73.84 W || isolate: P00111 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,651050646,6446046,168,26464,50,22,85.55,25125556,4832,2149,7,superspecific,2,1,1,0,0,0,1,0.00%,0.00%
SRX822099,Shotgun sequencing of environmental sample: Sample P00112,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 11-Jul-2013 || env_biome: city || env_feature: subway || env_material: plastic || geo_loc_name: USA:New York City || lat_lon: 40.75 N 73.84 W || isolate: P00112 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,649526000,5196208,112,31109,50,22,83.86,20385380,2892,1615,7,superspecific,4,1,0,0,0,0,0,0,0
SRX822105,Shotgun sequencing of environmental sample: Sample P00118,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 15-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.71 N 73.99 W || isolate: P00118 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,653691500,5229532,140,23708,50,22,94.86,15949014,2796,2002,7,superspecific,2,0,0,0,0,0,0,0,0
SRX822108,Shotgun sequencing of environmental sample: Sample P00121,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 15-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.71 N 73.97 W || isolate: P00121 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,584228000,4673824,146,36069,50,21,90.1,24997502,3299,2104,8,superspecific,4,0,0,0,0,0,1,0.00%,0.00%
SRX822110,Shotgun sequencing of environmental sample: Sample P00123,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 15-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.70 N 73.95 W || isolate: P00123 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,586683750,4693470,69,75478,50,21,87.31,19794004,2174,1425,6,superspecific,4,0,0,0,0,0,0,0,0
SRX822112,Shotgun sequencing of environmental sample: Sample P00125,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 15-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.69 N 73.93 W || isolate: P00125 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,589820750,4718566,96,22831,50,21,97.44,17404337,2102,1592,7,superspecific,2,0,0,0,0,0,1,0.00%,0.00%
SRX822114,Shotgun sequencing of environmental sample: Sample P00127,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 15-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.69 N 73.92 W || isolate: P00127 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,614335250,4914682,27,74631,50,22,97.61,10111924,924,624,3,superspecific,1,1,0,0,0,0,0,0,0
SRX822117,Shotgun sequencing of environmental sample: Sample P00130,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 15-Jul-2013 || env_biome: city || env_feature: subway || env_material: plastic || geo_loc_name: USA:New York City || lat_lon: 40.71 N 73.88 W || isolate: P00130 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,602843250,4822746,446,10827,50,22,83.66,25853207,5809,3529,11,superspecific,1,1,0,0,0,0,0,0,0
SRX822120,Shotgun sequencing of environmental sample: Sample P00133,Illumina MiSeq,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 15-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.70 N 73.90 W || isolate: P00133 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,704394500,5635156,138,17220,50,22,90.9,16255502,3069,1776,6,superspecific,1,1,0,0,0,0,0,0,0
SRX822124,Shotgun sequencing of environmental sample: Sample P00141,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 15-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.67 N 73.88 W || isolate: P00141 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,561929072,1886016,579,8043,50,21,94.92,20773729,3769,3382,9,superspecific,2,0,0,0,0,0,2,0.14%,0.00%
SRX822130,Shotgun sequencing of environmental sample: Sample P00151,Illumina MiSeq,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 15-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.70 N 73.80 W || isolate: P00151 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,587907500,4703260,225,15207,50,21,88.77,17092496,2963,2121,6,superspecific,1,0,0,0,0,0,0,0,0
SRX822132,Shotgun sequencing of environmental sample: Sample P00153,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 16-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.98 W || isolate: P00153 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,604266750,4834134,384,9492,50,22,91.51,26524932,5784,3657,8,superspecific,2,1,0,0,0,0,1,0.00%,0.00%
SRX822137,Shotgun sequencing of environmental sample: Sample P00158,Illumina HiSeq 2500,PAIRED -,METAGENOMIC,host: not applicable || collection_date: 15-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.86 N 73.91 W || isolate: P00158 || BioSampleModel: Metagenome or environmental,SRP051511,New York City MTA subway samples Metagenome,Weill Cornell Medical College,None,Christopher Mason Lab,1348798,2/6/15,675457000,5403656,731,7356,50,22,80.34,19126549,5962,3349,7,superspecific,0,0,0,0,0,0,0,0,0
